Title,Image_URL,Product_Page_URL,Dimensions
,https://i5.walmartimages.com/seo/TPRC-Lexington-II-20-Rolling-Expandable-Carry-on-4-Wheel-Spinner-Luggage-Black_b81c4e04-83ab-477f-bc13-c5add799046a.3d0d779bee1428f60172f825927767a7.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,https://www.walmart.com/ip/TPRC-Lexington-II-20-Rolling-Expandable-Carry-on-4-Wheel-Spinner-Luggage-Black/3459848268?classType=VARIANT,
,https://i5.walmartimages.com/seo/Landisun-3-Piece-Carry-on-Luggage-Sets-Hardside-Suitcase-Set-with-Spinner-Wheels-Portable-Travel-Bag-and-Toiletry-Bag-White_18e4617b-c7c6-41b2-83af-a3f2875e3f56.7f66d30fd17026f9576033cd3b2d5486.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,https://www.walmart.com/ip/Landisun-3-Piece-Carry-on-Luggage-Sets-Hardside-Suitcase-Set-with-Spinner-Wheels-Portable-Travel-Bag-and-Toiletry-Bag-White/14754056603?classType=VARIANT,
,https://i5.walmartimages.com/seo/Travelhouse-3-Piece-Hardshell-Luggage-Set-Hardside-Lightweight-Suitcase-with-TSA-Lock-Spinner-Wheels-20in24in28in-Green_87f8e797-4ff4-4cc7-89f0-361d447146bd.e3ae7a97b2ae80165452735a36728621.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,https://www.walmart.com/ip/Travelhouse-3-Piece-Hardshell-Luggage-Set-Hardside-Lightweight-Suitcase-with-TSA-Lock-Spinner-Wheels-20in24in28in-Green/3509480245?classType=VARIANT,
,,https://www.walmart.com,
,https://i5.walmartimages.com/seo/StorageBud-20-inch-Hardside-Carry-On-Expandable-Luggage-Front-Pocket-Luggage-Set-Spinner-Suitcase-Set-Teal_55826966-2186-42bf-acd4-603ad2badfaf.5259794ed30b1a177773b0d34007cf54.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,https://www.walmart.com/ip/StorageBud-20-inch-Hardside-Carry-On-Expandable-Luggage-Front-Pocket-Luggage-Set-Spinner-Suitcase-Set-Teal/1982772435?classType=VARIANT,
,https://i5.walmartimages.com/seo/Protege-18-Softside-Kids-Pilot-Case-Carry-On-Luggage-Dinosaur_56a7b4db-80af-462f-88b3-ac2723af93d4.d3870d58610d1bac132baea9192eff3a.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,https://www.walmart.com/ip/Protege-18-Softside-Kids-Pilot-Case-Carry-On-Luggage-Dinosaur/3376625690?classType=VARIANT,
,https://i5.walmartimages.com/seo/2-Pc-Luggage-Set-Pink_cafa3829-dc1d-43fe-be16-a0446ed8e8f2.6549139d97bc0cdf19083e821ec8ce18.jpeg,https://www.walmart.com/ip/2-Pc-Luggage-Set-Pink/24270115?classType=REGULAR,
,https://i5.walmartimages.com/seo/Wrangler-20-Carry-On-Rolling-Hard-Side-Spinner-Luggage-Grey_04cac87a-626b-4d25-8612-b761dba40e65.89ee55cc56addbb341116eceef020e53.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,https://www.walmart.com/ip/Wrangler-20-Carry-On-Rolling-Hard-Side-Spinner-Luggage-Grey/980534069?classType=VARIANT,
,https://i5.walmartimages.com/seo/edx-Hardside-Carry-on-Luggage-with-Spinner-Wheels-Hard-Shell-ABS-Suitcase-20-Inch-Lightweight-Expandable-Rolling-Luggage-Blue_774f0ffc-d075-4ccf-8ef2-481d878acc28.541ba2473f620c371327f16ada2f9ef9.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,https://www.walmart.com/ip/edx-Hardside-Carry-on-Luggage-with-Spinner-Wheels-Hard-Shell-ABS-Suitcase-20-Inch-Lightweight-Expandable-Rolling-Luggage-Blue/13506258503?classType=VARIANT,
,https://i5.walmartimages.com/seo/2PCS-Luggage-Two-Piece-Rolling-Luggage-Set-Lightweight-With-Hook-20-14-Rose-Gold_53af712d-14d3-4f94-9c29-c526f10018a6.6837735ea3a2133a1ff3b6dd7d9a71e5.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,https://www.walmart.com/ip/2PCS-Luggage-Two-Piece-Rolling-Luggage-Set-Lightweight-With-Hook-20-14-Rose-Gold/5500085163?classType=VARIANT,
